standard00:	000 001 ___ ___
standard01:	000 001 ___ ___
standard02:	___ 001 ___ ___
standard03:	000 001 ___ ___
standard04:	000 001 ___ ___
standard05:	000 001 ___ ___
standard06:	000 001 ___ ___
standard07:	000 001 ___ ___
standard08:	000 001 ___ ___
standard09:	000 001 ___ ___
standard0A:	000 001 ___ ___
standard0B:	000 001 ___ ___
standard0C:	000 001 ___ ___
standard0D:	___ ___ ___ 002
standard0E:	___ 001 ___ ___
standard0F:	___ 001 ___ ___
standard10:	000 001 ___ ___
standard11:	___ ___ ___ 004
standard12:	___ ___ ___ ___
standard13:	___ ___ ___ 002
standard14:	___ ___ ___ 002
standard15:	___ 001 013 ___
standard16:	___ 001 013 ___
standard17:	___ ___ 013 ___
standard18:	___ ___ 013 ___
standard19:	___ ___ ___ ___
standard1A:	___ 001 ___ 004
standard1B:	___ ___ ___ 004
standard1C:	___ 001 ___ 005
standard1D:	___ ___ ___ 002
standard1E:	000 ___ ___ 002
standard1F:	___ ___ ___ 003
standard20:	___ ___ ___ 003
standard21:	___ 001 ___ ___
standard22:	___ ___ 012 ___
standard23:	___ ___ 012 ___
standard24:	___ ___ 012 ___
standard25:	___ ___ 012 ___
standard26:	___ ___ ___ 003
standard27:	___ ___ ___ 003
standard28:	___ ___ ___ 011
standard29:	___ ___ ___ ___
standard2A:	___ 001 ___ 004
standard2B:	___ ___ 013 009
standard2C:	___ ___ 013 ___
standard2D:	___ ___ ___ ___
standard2E:	___ ___ ___ 004
standard2F:	000 001 ___ ___
standard30:	___ ___ 012 003
standard31:	___ ___ 012 003
standard32:	___ 001 012 003
standard33:	000 ___ ___ ___
standard34:	___ ___ 024 ___
standard35:	000 001 013 ___
standard36:	___ ___ ___ ___
standard37:	___ ___ ___ 011
standard38:	___ ___ 006 011
standard39:	___ ___ 006 011
standard3A:	___ ___ ___ 006
standard3B:	___ ___ ___ 006
standard3C:	___ ___ ___ 006
standard3D:	___ ___ ___ 006
standard3E:	000 001 ___ ___
standard3F:	___ 001 ___ 002
standard40:	___ 001 ___ 002
standard41:	___ ___ ___ 006
standard42:	___ ___ ___ 006
standard43:	___ ___ ___ 006
standard44:	___ ___ ___ 006
standard45:	___ 001 ___ ___
standard46:	___ ___ 013 005
standard47:	___ ___ 013 ___
standard48:	___ ___ ___ 005
standard49:	___ ___ ___ 002
standard4A:	___ ___ ___ 005
standard4B:	___ ___ ___ 002
standard4C:	000 ___ ___ ___
standard4D:	___ ___ ___ 009
standard4E:	___ ___ ___ 009
standard4F:	___ 001 ___ ___
standard50:	___ 001 ___ ___
standard51:	___ ___ ___ 00E
standard52:	___ ___ ___ 005
standard53:	000 ___ ___ ___
standard54:	___ ___ 013 ___
standard55:	___ ___ ___ 005
standard56:	___ ___ ___ 005
standard57:	___ ___ ___ 005
standard58:	___ ___ ___ 005
standard59:	___ ___ 013 ___
standard5A:	___ ___ 013 ___
standard5B:	___ ___ 013 ___
standard5C:	___ ___ ___ 005
standard5D:	___ ___ ___ 005
standard5E:	___ ___ ___ 005
standard5F:	___ ___ 013 005
standard60:	___ ___ 00D ___
standard61:	___ ___ ___ 004
standard62:	___ ___ 013 ___
standard63:	___ ___ ___ 005
standard64:	___ ___ ___ 005
standard65:	___ ___ ___ 005
standard66:	___ ___ ___ 005
standard67:	___ ___ 012 ___
standard68:	___ ___ ___ 005
standard69:	___ ___ ___ ___
standard6A:	000 ___ 013 ___
standard6B:	000 ___ ___ ___
standard6C:	000 ___ ___ ___
standard6D:	___ ___ ___ ___
standard6E:	___ ___ ___ 023
standard6F:	___ ___ 013 023
standard70:	___ ___ ___ 009
standard71:	___ 001 ___ 009
